2026-07-04 01-35-45 | WARN | "userName" must only contain alpha-numeric characters
2026-07-04 01-36-04 | WARN | Password must contain at least one uppercase letter, one lowercase letter, one number, and one special character.
2026-07-04 15-33-44 | ERROR | Cannot read properties of undefined (reading 'findById')
2026-07-04 15-39-35 | ERROR | Cannot read properties of undefined (reading 'findById')
2026-07-06 10-26-40 | WARN | ["\"email\" is required"]
2026-07-06 10-26-57 | WARN | ["Password must contain at least one uppercase letter, one lowercase letter, one number, and one special character."]
2026-07-06 10-28-14 | WARN | ["Password must contain at least one uppercase letter, one lowercase letter, one number, and one special character."]
2026-07-06 10-31-09 | WARN | ["Password must be 8 characters contain at least one uppercase letter, one lowercase letter, one number, and one special character."]
2026-07-06 10-31-31 | WARN | ["Password must be 8 characters, and contain at least one uppercase letter, one lowercase letter, one number, and one special character."]
2026-07-06 10-33-22 | WARN | ["\"otp\" is required"]
2026-07-06 10-34-38 | WARN | ["\"password\" with value \"Aa1234$\" fails to match the required pattern: /^(?=.*[a-z])(?=.*[A-Z])(?=.*\\d)(?=.*[@$!%*?&])[A-Za-z\\d@$!%*?&]{8,30}$/"]
2026-07-06 10-35-27 | WARN | ["\"password\" with value \"Aa1234$\" fails to match the required pattern: /^(?=.*[a-z])(?=.*[A-Z])(?=.*\\d)(?=.*[@$!%*?&])[A-Za-z\\d@$!%*?&]{8,30}$/"]
2026-07-06 10-38-02 | WARN | ["\"email\" is required"]
2026-07-06 10-39-38 | WARN | ["\"email\" is not allowed"]
2026-07-06 10-40-39 | WARN | ["\"token\" is not allowed"]
2026-07-06 10-45-08 | WARN | ["\"token\" is not allowed"]
2026-07-06 10-45-18 | WARN | ["\"email\" is not allowed"]
2026-07-06 10-47-30 | WARN | ["\"email\" is not allowed"]
2026-07-06 10-54-12 | WARN | ["\"newPassword\" is not allowed"]
2026-07-06 14-32-12 | WARN | ["\"userName\" is not allowed"]
2026-07-07 15-37-37 | WARN | ["\"password\" is not allowed"]
2026-07-07 15-39-13 | WARN | ["\"password\" is required","\"oldpassword\" is not allowed"]
2026-07-08 15-58-05 | WARN | ["\"password\" with value \"Aa12345678\" fails to match the required pattern: /^(?=.*[a-z])(?=.*[A-Z])(?=.*\\d)(?=.*[@$!%*?&])[A-Za-z\\d@$!%*?&]{8,30}$/"]
2026-07-08 18-02-55 | WARN | ["\"role\" is not allowed"]
2026-07-08 19-48-21 | WARN | ["\"role\" is not allowed","\"password\" is not allowed"]
2026-07-08 19-48-29 | WARN | ["\"role\" is not allowed"]
2026-07-08 19-51-49 | WARN | ["\"oldPassword\" is required","\"oldpassword\" is not allowed"]
2026-07-11 15-50-15 | WARN | ["\"rating\" is not allowed","\"comment\" is not allowed"]
2026-07-11 15-52-42 | WARN | ["\"rating\" is not allowed","\"comment\" is not allowed"]
2026-07-11 15-53-11 | WARN | ["\"rating\" is not allowed","\"comment\" is not allowed"]
2026-07-11 15-57-04 | WARN | ["\"rating\" is not allowed","\"comment\" is not allowed"]
2026-07-11 17-10-17 | WARN | ["Discount price must be less than the original price"]
2026-07-12 15-23-44 | WARN | ["\"password\" is required","\"paswword\" is not allowed"]
2026-07-12 18-55-21 | WARN | ["Discount price must be less than the original price"]
2026-07-12 20-52-36 | WARN | ["\"stock\" must be greater than or equal to 0"]
2026-07-12 21-17-50 | WARN | ["\"stock\" must be greater than or equal to 0"]
2026-07-12 21-20-48 | WARN | ["\"discountPrice\" must be less than ref:price"]
2026-07-12 21-21-36 | WARN | ["\"discountPrice\" must be less than ref:price"]
2026-07-14 16-34-50 | WARN | ["Product ID is required","Quantity must be at least 1","\"publicId\" is not allowed"]
2026-07-15 01-23-46 | WARN | ["\"discountPrice\" must be less than ref:price"]
2026-07-16 03-15-16 | WARN | ["\"quantity\" must be a number"]
2026-07-16 03-15-24 | WARN | ["Quantity must be at least 1"]
2026-07-16 14-29-35 | WARN | ["\"quantity\" must be a number"]
